
100 1e-06
600 1e-06
1100 1e-06
1600 2e-06
2100 2e-06
2600 2e-06
3100 4e-06
3600 3e-06
4100 3e-06
4600 4e-06
5100 4e-06
5600 4e-06
6100 5e-06
6600 9e-06
7100 6e-06
7600 6e-06
8100 7e-06
8600 7e-06
9100 7e-06
9600 1.4e-05
10100 8e-06
10600 1.6e-05
11100 8e-06
11600 9e-06
12100 1.4e-05
12600 1e-05
13100 1.9e-05
13600 1.9e-05
14100 1.1e-05
14600 1.2e-05
15100 1.1e-05
15600 1.2e-05
16100 1.2e-05
16600 1.3e-05
17100 2.4e-05
17600 1.4e-05
18100 1.4e-05
18600 1.4e-05
19100 1.5e-05
19600 1.5e-05
20100 1.5e-05
20600 1.6e-05
21100 1.7e-05
21600 1.7e-05
22100 1.7e-05
22600 1.7e-05
23100 1.8e-05
23600 1.8e-05
24100 1.8e-05
24600 1.8e-05
25100 2e-05
25600 2e-05
26100 2e-05
26600 2e-05
27100 2.1e-05
27600 2.1e-05
28100 2.1e-05
28600 2.2e-05
29100 2.2e-05
29600 2.3e-05
