
100 0
600 1e-06
1100 1e-06
1600 0
2100 1e-06
2600 0
3100 1e-06
3600 1e-06
4100 0
4600 1e-06
5100 1e-06
5600 1e-06
6100 1e-06
6600 1e-06
7100 1e-06
7600 1e-06
8100 1e-06
8600 1e-06
9100 0
9600 1e-06
10100 1e-06
10600 1e-06
11100 1e-06
11600 1e-06
12100 1e-06
12600 0
13100 0
13600 0
14100 1e-06
14600 0
15100 1e-06
15600 1e-06
16100 1e-06
16600 1e-06
17100 1e-06
17600 1e-06
18100 1e-06
18600 0
19100 1e-06
19600 0
20100 1e-06
20600 0
21100 0
21600 1e-06
22100 3e-06
22600 1e-06
23100 1e-06
23600 1e-06
24100 0
24600 1e-06
25100 0
25600 1e-06
26100 1e-06
26600 1e-06
27100 1e-06
27600 1e-06
28100 1e-06
28600 1e-06
29100 1e-06
29600 1e-06
